StatWeekLU,DateStart,DateEnd,Month
11,2020/01/01,2020/01/04,Jan
12,2020/01/05,2020/01/11,Jan
13,2020/01/12,2020/01/18,Jan
14,2020/01/19,2020/01/25,Jan
15,2020/01/26,2020/02/01,Jan
21,2020/02/02,2020/02/08,Feb
22,2020/02/09,2020/02/15,Feb
23,2020/02/16,2020/02/22,Feb
24,2020/02/23,2020/02/29,Feb
31,2020/03/01,2020/03/07,Mar
32,2020/03/08,2020/03/14,Mar
33,2020/03/15,2020/03/21,Mar
34,2020/03/22,2020/03/28,Mar
111,2020/11/01,2020/11/07,Nov
112,2020/11/08,2020/11/14,Nov
113,2020/11/15,2020/11/21,Nov
114,2020/11/22,2020/11/28,Nov
121,2020/11/29,2020/12/05,Dec
122,2020/12/06,2020/12/12,Dec
123,2020/12/13,2020/12/19,Dec
124,2020/12/20,2020/12/26,Dec
125,2020/12/27,2020/12/31,Dec
11,2021/01/01,2021/01/02,Jan
12,2021/01/03,2021/01/09,Jan
13,2021/01/10,2021/01/16,Jan
14,2021/01/17,2021/01/23,Jan
15,2021/01/24,2021/01/30,Jan
21,2021/01/31,2021/02/06,Feb
22,2021/02/07,2021/02/13,Feb
23,2021/02/14,2021/02/20,Feb
24,2021/02/21,2021/02/27,Feb
31,2021/02/28,2021/03/06,Mar
32,2021/03/07,2021/03/13,Mar
33,2021/03/14,2021/03/20,Mar
34,2021/03/21,2021/03/27,Mar
111,2021/10/31,2021/11/06,Nov
112,2021/11/07,2021/11/13,Nov
113,2021/11/14,2021/11/20,Nov
114,2021/11/21,2021/11/27,Nov
121,2021/11/28,2021/12/04,Dec
122,2021/12/05,2021/12/11,Dec
123,2021/12/12,2021/12/18,Dec
124,2021/12/19,2021/12/25,Dec
125,2021/12/26,2021/12/31,Dec
